id;address;lat;long;mon_fri;sat;sun
8541;4700 S LAKE PARK AVE CHICAGO, IL 60615;41.809301;-87.5924622333333;12:00 pm;12:00 pm;Closed
8542;8258 S DORCHESTER AVE CHICAGO, IL 60619;41.74426805;-87.5907270134943;12:00 pm;10:00 am;Closed
8543;1159 W 59TH ST CHICAGO, IL 60621;41.7868111757841;-87.6539985795566;12:00 pm;10:00 am;Closed
8544;8301 S PERRY AVE CHICAGO, IL 60620;41.743037;-87.626715;12:00 pm;12:00 pm;Closed
8545;2359 E 73RD ST CHICAGO, IL 60649;41.7625327207473;-87.5668189252752;12:00 pm;12:00 pm;Closed
8546;1958 E 79TH ST CHICAGO, IL 60649;41.7517633;-87.5762155355626;12:00 pm;12:00 pm;Closed
8547;4501 S KING DR CHICAGO, IL 60653;41.7136338;-87.6139518;12:00 pm;12:00 pm;Closed
8548;7058 S RACINE AVE CHICAGO, IL 60636;41.7653015;-87.6544479;10:00 am;10:00 am;Closed
8549;7201 S EXCHANGE AVE CHICAGO, IL 60649;41.764449;-87.5647229;12:00 pm;12:00 pm;Closed
8550;1258 W 69TH ST CHICAGO, IL 60636;41.7687545717229;-87.6556479886682;10:00 am;10:00 am;Closed
8551;7601 S MORGAN ST CHICAGO, IL 60620;41.75589335;-87.6486515844633;12:00 pm;12:00 pm;Closed
8552;8111 S SOUTH CHICAGO AVE CHICAGO, IL 60617;41.7362005;-87.5643049;12:00 pm;10:00 am;Closed
8553;4658 S PRINCETON AVE CHICAGO, IL 60609;41.8096433608156;-87.6334969352746;12:00 pm;10:00 am;Closed
8554;8501 S INGLESIDE AVE CHICAGO, IL 60619;41.740234;-87.601177;12:00 pm;10:00 am;Closed
8555;7100 S SOUTH SHORE DR CHICAGO, IL 60649;41.7659953;-87.5628472313266;12:00 pm;12:00 pm;Closed
8556;7901 S HALSTED ST CHICAGO, IL 60620;41.750508;-87.64415075;12:00 pm;12:00 pm;Closed
8557;7401 S RACINE AVE CHICAGO, IL 60621;41.75948345;-87.6537371011507;12:00 pm;10:00 am;Closed
8558;8325 S STONY ISLAND AVE CHICAGO, IL 60617;41.7206882;-87.5851659;12:00 pm;12:00 pm;Closed
8559;7601 S YATES BLVD CHICAGO, IL 60649;41.7569282;-87.5660260407557;12:00 pm;12:00 pm;Closed
8560;8100 S JEFFERY BLVD CHICAGO, IL 60617;41.7478369;-87.5762092997173;12:00 pm;12:00 pm;Closed
8561;8559 S MICHIGAN AVE CHICAGO, IL 60619;41.7390006873623;-87.6209490325305;12:00 pm;10:00 am;Closed
8562;4301 S KING DR CHICAGO, IL 60653;41.7136338;-87.6139518;12:00 pm;12:00 pm;Closed
8563;4359 S STATE ST CHICAGO, IL 60609;41.8150829;-87.625811949835;12:00 pm;12:00 pm;Closed
8564;758 E 43RD ST CHICAGO, IL 60653;41.8168823287402;-87.6075146170459;12:00 pm;12:00 pm;Closed
8565;7858 S MORGAN ST CHICAGO, IL 60620;41.7508166;-87.6490062;12:00 pm;12:00 pm;Closed
8566;1200 W 76TH ST CHICAGO, IL 60620;41.756116;-87.654041;12:00 pm;12:00 pm;Closed
8567;4259 S COTTAGE GROVE CHICAGO, IL 60653;41.7804151;-87.6059877;12:00 pm;12:00 pm;Closed
8568;836 E 87TH ST CHICAGO, IL 60619;41.7368543;-87.6032265430876;5:00 pm;12:00 pm;Closed
8569;8700 S LANGLEY AVE CHICAGO, IL 60619;41.735119;-87.607321;5:00 pm;12:00 pm;Closed
8570;8700 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.7364176;-87.6052203123223;5:00 pm;12:00 pm;Closed
8571;7327 S SOUTH SHORE DR CHICAGO, IL 60649;41.7635152352941;-87.5599381764706;12:00 pm;12:00 pm;Closed
8572;4901 S INDIANA AVE SE CHICAGO, IL 60653;41.805548;-87.621006;12:00 pm;12:00 pm;Closed
8573;7436 S EXCHANGE AVE CHICAGO, IL 60649;41.759531;-87.5610608961371;4:15 pm;2:00 pm;Closed
8574;7436 S EXCHANGE AVE CHICAGO, IL 60649;41.759531;-87.5610608961371;5:00 pm;4:00 pm;Closed
8575;8015 S LUELLA AVE CHICAGO, IL 60617;41.7495175736878;-87.569741275082;12:00 pm;12:00 pm;Closed
8576;7437 S EXCHANGE AVE CHICAGO, IL 60649;41.7601096350419;-87.5613605583563;12:00 pm;12:00 pm;Closed
8577;201 E 87TH ST CHICAGO, IL 60619;41.73617605;-87.6191263418174;12:00 pm;12:00 pm;Closed
